Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft),,
0.00,S,0.0000E+00,0.00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7560E+01,0.00,0.0000E+00,7.2440E+01,8.4506E+01,1.9556E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.0000E+01,9.0000E+01,0.00,0.0000E+00,,
0.01,S,1.0000E-02,0.01,0.0000E+00,2.9840E-01,0.0000E+00,7.2703E+01,4.7560E+01,0.00,0.0000E+00,7.2423E+01,8.4506E+01,1.9583E+00,1.7009E+01,1.7009E+01,8.5840E-05,1.7009E-01,1.7009E-01,8.5840E-07,9.0000E+01,9.0000E+01,0.00,4.2920E-09,,
0.02,S,2.0000E-02,0.01,0.0000E+00,2.9840E-01,0.0000E+00,1.4541E+02,4.7558E+01,0.00,0.0000E+00,7.2407E+01,8.4506E+01,1.9610E+00,6.6195E+01,6.6195E+01,1.7169E-04,8.3204E-01,8.3204E-01,2.5753E-06,9.0000E+01,9.0000E+01,0.01,2.1460E-08,,
0.03,S,3.0000E-02,0.01,0.0000E+00,2.9840E-01,0.0000E+00,2.1811E+02,4.7553E+01,0.00,0.0000E+00,7.2390E+01,8.4506E+01,1.9636E+00,1.1540E+02,1.1540E+02,2.5756E-04,1.9860E+00,1.9860E+00,5.1508E-06,9.0000E+01,9.0000E+01,0.02,6.0091E-08,,
0.04,S,4.0000E-02,0.01,0.0000E+00,2.9840E-01,0.0000E+00,2.9081E+02,4.7544E+01,0.00,0.0000E+00,7.2373E+01,8.4506E+01,1.9663E+00,1.6462E+02,1.6462E+02,3.4347E-04,3.6322E+00,3.6322E+00,8.5856E-06,9.0000E+01,9.0000E+01,0.05,1.2877E-07,,
0.05,S,5.0000E-02,0.01,0.0000E+00,2.9840E-01,0.0000E+00,3.6351E+02,4.7532E+01,0.00,0.0000E+00,7.2357E+01,8.4506E+01,1.9690E+00,2.1388E+02,2.1388E+02,4.2945E-04,5.7710E+00,5.7710E+00,1.2880E-05,9.0000E+01,9.0000E+01,0.10,2.3610E-07,,
0.06,S,6.0000E-02,0.01,0.0000E+00,2.9840E-01,0.0000E+00,4.3622E+02,4.7517E+01,0.00,0.0000E+00,7.2340E+01,8.4506E+01,1.9717E+00,2.6319E+02,2.6319E+02,5.1551E-04,8.4029E+00,8.4029E+00,1.8035E-05,9.0000E+01,9.0000E+01,0.17,3.9068E-07,,
0.07,S,7.0000E-02,0.01,0.0000E+00,2.9840E-01,0.0000E+00,5.0892E+02,4.7498E+01,0.00,0.0000E+00,7.2323E+01,8.4506E+01,1.9744E+00,3.1256E+02,3.1256E+02,6.0167E-04,1.1528E+01,1.1528E+01,2.4052E-05,9.0000E+01,9.0000E+01,0.27,6.0111E-07,,
0.08,S,8.0000E-02,0.01,0.0000E+00,2.9929E-01,0.0000E+00,5.8162E+02,4.7475E+01,0.01,0.0000E+00,7.2307E+01,8.4506E+01,1.9771E+00,3.6199E+02,3.6199E+02,6.8794E-04,1.5148E+01,1.5148E+01,3.0931E-05,9.0000E+01,9.0000E+01,0.40,8.7603E-07,,
0.09,S,9.0000E-02,0.01,0.0000E+00,3.0966E-01,0.0000E+00,5.9754E+02,4.7449E+01,0.01,0.0000E+00,7.2290E+01,8.4506E+01,1.9798E+00,3.7300E+02,3.7300E+02,7.0716E-04,1.8878E+01,1.8878E+01,3.8003E-05,9.0000E+01,9.0000E+01,0.57,1.2207E-06,,
0.10,S,1.0000E-01,0.02,0.0000E+00,3.1370E-01,0.0000E+00,5.9927E+02,4.7421E+01,0.02,0.0000E+00,7.2273E+01,8.4506E+01,1.9825E+00,3.7441E+02,3.7441E+02,7.0962E-04,2.2622E+01,2.2622E+01,4.5099E-05,9.0000E+01,9.0000E+01,0.78,1.6362E-06,,
0.11,S,1.1000E-01,0.02,0.0000E+00,3.1454E-01,0.0000E+00,6.0100E+02,4.7392E+01,0.03,0.0000E+00,7.2257E+01,8.4506E+01,1.9852E+00,3.7582E+02,3.7582E+02,7.1208E-04,2.6381E+01,2.6381E+01,5.2220E-05,9.0000E+01,9.0000E+01,1.02,2.1228E-06,,
0.12,S,1.2000E-01,0.02,0.0000E+00,3.1383E-01,0.0000E+00,6.0273E+02,4.7363E+01,0.04,0.0000E+00,7.2240E+01,8.4506E+01,1.9879E+00,3.7723E+02,3.7723E+02,7.1455E-04,3.0153E+01,3.0153E+01,5.9365E-05,9.0000E+01,9.0000E+01,1.30,2.6807E-06,,
0.13,S,1.3000E-01,0.03,0.0000E+00,3.1231E-01,0.0000E+00,6.0446E+02,4.7335E+01,0.06,0.0000E+00,7.2224E+01,8.4506E+01,1.9906E+00,3.7865E+02,3.7865E+02,7.1702E-04,3.3939E+01,3.3939E+01,6.6535E-05,9.0000E+01,9.0000E+01,1.62,3.3102E-06,,
0.14,S,1.4000E-01,0.03,0.0000E+00,3.1039E-01,0.0000E+00,6.0619E+02,4.7306E+01,0.07,0.0000E+00,7.2207E+01,8.4506E+01,1.9933E+00,3.8006E+02,3.8006E+02,7.1949E-04,3.7740E+01,3.7740E+01,7.3730E-05,9.0000E+01,9.0000E+01,1.98,4.0116E-06,,
0.15,S,1.5000E-01,0.03,0.0000E+00,3.0828E-01,0.0000E+00,6.0792E+02,4.7277E+01,0.09,0.0000E+00,7.2190E+01,8.4506E+01,1.9960E+00,3.8148E+02,3.8148E+02,7.2196E-04,4.1555E+01,4.1555E+01,8.0950E-05,9.0000E+01,9.0000E+01,2.38,4.7850E-06,,
0.16,S,1.6000E-01,0.04,0.0000E+00,3.0609E-01,0.0000E+00,6.0965E+02,4.7248E+01,0.11,0.0000E+00,7.2174E+01,8.4506E+01,1.9987E+00,3.8290E+02,3.8290E+02,7.2444E-04,4.5384E+01,4.5384E+01,8.8194E-05,9.0000E+01,9.0000E+01,2.81,5.6307E-06,,
0.17,S,1.7000E-01,0.04,0.0000E+00,3.0389E-01,0.0000E+00,6.1138E+02,4.7219E+01,0.13,0.0000E+00,7.2157E+01,8.4506E+01,2.0014E+00,3.8432E+02,3.8432E+02,7.2692E-04,4.9227E+01,4.9227E+01,9.5463E-05,9.0000E+01,9.0000E+01,3.29,6.5490E-06,,
0.18,S,1.8000E-01,0.04,0.0000E+00,3.0171E-01,0.0000E+00,6.1310E+02,4.7190E+01,0.15,0.0000E+00,7.2140E+01,8.4506E+01,2.0041E+00,3.8574E+02,3.8574E+02,7.2940E-04,5.3084E+01,5.3084E+01,1.0276E-04,9.0000E+01,9.0000E+01,3.80,7.5401E-06,,
0.19,S,1.9000E-01,0.05,0.0000E+00,2.9959E-01,0.0000E+00,6.1483E+02,4.7161E+01,0.17,0.0000E+00,7.2124E+01,8.4506E+01,2.0068E+00,3.8716E+02,3.8716E+02,7.3188E-04,5.6956E+01,5.6956E+01,1.1008E-04,9.0000E+01,9.0000E+01,4.35,8.6042E-06,,
0.20,S,2.0000E-01,0.05,0.0000E+00,2.9893E-01,0.0000E+00,6.1656E+02,4.7131E+01,0.20,0.0000E+00,7.2107E+01,8.4506E+01,2.0095E+00,3.8859E+02,3.8859E+02,7.3436E-04,6.0842E+01,6.0842E+01,1.1742E-04,9.0000E+01,9.0000E+01,4.94,9.7417E-06,,
0.21,S,2.1000E-01,0.05,0.0000E+00,2.9878E-01,0.0000E+00,6.1829E+02,4.7102E+01,0.22,0.0000E+00,7.2090E+01,8.4506E+01,2.0122E+00,3.9001E+02,3.9001E+02,7.3685E-04,6.4742E+01,6.4742E+01,1.2479E-04,9.0000E+01,9.0000E+01,5.57,1.0953E-05,,
0.22,S,2.2000E-01,0.06,0.0000E+00,2.9854E-01,0.0000E+00,6.2002E+02,4.7072E+01,0.25,0.0000E+00,7.2074E+01,8.4506E+01,2.0149E+00,3.9144E+02,3.9144E+02,7.3934E-04,6.8656E+01,6.8656E+01,1.3218E-04,9.0000E+01,9.0000E+01,6.23,1.2238E-05,,
0.23,S,2.3000E-01,0.06,0.0000E+00,2.9823E-01,0.0000E+00,6.2175E+02,4.7043E+01,0.29,0.0000E+00,7.2057E+01,8.4506E+01,2.0176E+00,3.9286E+02,3.9286E+02,7.4183E-04,7.2585E+01,7.2585E+01,1.3960E-04,9.0000E+01,9.0000E+01,6.94,1.3597E-05,,
0.24,S,2.4000E-01,0.06,0.0000E+00,2.9786E-01,0.0000E+00,6.2348E+02,4.7013E+01,0.32,0.0000E+00,7.2040E+01,8.4506E+01,2.0203E+00,3.9429E+02,3.9429E+02,7.4432E-04,7.6528E+01,7.6528E+01,1.4704E-04,9.0000E+01,9.0000E+01,7.68,1.5030E-05,,
0.25,S,2.5000E-01,0.07,0.0000E+00,2.9745E-01,0.0000E+00,6.2509E+02,4.6983E+01,0.35,0.0000E+00,7.2024E+01,8.4506E+01,2.0230E+00,3.9564E+02,3.9564E+02,7.4668E-04,8.0484E+01,8.0484E+01,1.5451E-04,9.0000E+01,9.0000E+01,8.47,1.6538E-05,,
0.26,S,2.6000E-01,0.07,0.0000E+00,2.9702E-01,0.0000E+00,6.2563E+02,4.6954E+01,0.39,0.0000E+00,7.2007E+01,8.4506E+01,2.0257E+00,3.9626E+02,3.9626E+02,7.4776E-04,8.4447E+01,8.4447E+01,1.6199E-04,9.0000E+01,9.0000E+01,9.29,1.8120E-05,,
0.27,S,2.7000E-01,0.07,0.0000E+00,2.9655E-01,0.0000E+00,6.2618E+02,4.6924E+01,0.43,0.0000E+00,7.1990E+01,8.4506E+01,2.0284E+00,3.9688E+02,3.9688E+02,7.4884E-04,8.8416E+01,8.8416E+01,1.6948E-04,9.0000E+01,9.0000E+01,10.16,1.9777E-05,,
0.28,S,2.8000E-01,0.08,0.0000E+00,2.9608E-01,0.0000E+00,6.2672E+02,4.6894E+01,0.47,0.0000E+00,7.1974E+01,8.4506E+01,2.0311E+00,3.9750E+02,3.9750E+02,7.4992E-04,9.2391E+01,9.2391E+01,1.7698E-04,9.0000E+01,9.0000E+01,11.06,2.1510E-05,,
0.29,S,2.9000E-01,0.08,0.0000E+00,2.9559E-01,0.0000E+00,6.2727E+02,4.6864E+01,0.51,0.0000E+00,7.1957E+01,8.4506E+01,2.0338E+00,3.9812E+02,3.9812E+02,7.5100E-04,9.6372E+01,9.6372E+01,1.8449E-04,9.0000E+01,9.0000E+01,12.01,2.3317E-05,,
0.30,S,3.0000E-01,0.09,0.0000E+00,2.9510E-01,0.0000E+00,6.2781E+02,4.6834E+01,0.56,0.0000E+00,7.1940E+01,8.4506E+01,2.0365E+00,3.9874E+02,3.9874E+02,7.5208E-04,1.0036E+02,1.0036E+02,1.9201E-04,9.0000E+01,9.0000E+01,12.99,2.5199E-05,,
0.31,S,3.1000E-01,0.09,0.0000E+00,2.9460E-01,0.0000E+00,6.2835E+02,4.6804E+01,0.60,0.0000E+00,7.1924E+01,8.4506E+01,2.0392E+00,3.9935E+02,3.9935E+02,7.5316E-04,1.0435E+02,1.0435E+02,1.9954E-04,9.0000E+01,9.0000E+01,14.01,2.7157E-05,,
0.32,S,3.2000E-01,0.09,0.0000E+00,2.9410E-01,0.0000E+00,6.2890E+02,4.6774E+01,0.65,0.0000E+00,7.1907E+01,8.4506E+01,2.0419E+00,3.9997E+02,3.9997E+02,7.5424E-04,1.0835E+02,1.0835E+02,2.0708E-04,9.0000E+01,9.0000E+01,15.08,2.9190E-05,,
0.33,S,3.3000E-01,0.10,0.0000E+00,2.9360E-01,0.0000E+00,6.2944E+02,4.6744E+01,0.70,0.0000E+00,7.1890E+01,8.4506E+01,2.0446E+00,4.0059E+02,4.0059E+02,7.5531E-04,1.1236E+02,1.1236E+02,2.1463E-04,9.0000E+01,9.0000E+01,16.18,3.1299E-05,,
0.34,S,3.4000E-01,0.10,0.0000E+00,2.9310E-01,0.0000E+00,6.2999E+02,4.6714E+01,0.75,0.0000E+00,7.1874E+01,8.4506E+01,2.0473E+00,4.0121E+02,4.0121E+02,7.5639E-04,1.1637E+02,1.1637E+02,2.2220E-04,9.0000E+01,9.0000E+01,17.32,3.3483E-05,,
0.35,S,3.5000E-01,0.10,0.0000E+00,2.9261E-01,0.0000E+00,6.3053E+02,4.6684E+01,0.81,0.0000E+00,7.1857E+01,8.4506E+01,2.0500E+00,4.0182E+02,4.0182E+02,8.2977E-04,1.2039E+02,1.2039E+02,2.3049E-04,9.0000E+01,9.0000E+01,18.53,3.5746E-05,,
0.36,S,3.6000E-01,0.11,0.0000E+00,2.9212E-01,0.0000E+00,6.3108E+02,4.6654E+01,0.86,0.0000E+00,7.1841E+01,8.4506E+01,2.0527E+00,4.0244E+02,4.0244E+02,8.3317E-04,1.2441E+02,1.2441E+02,2.3883E-04,9.0000E+01,9.0000E+01,19.77,3.8093E-05,,
0.37,S,3.7000E-01,0.11,0.0000E+00,2.9163E-01,0.0000E+00,6.3162E+02,4.6624E+01,0.92,0.0000E+00,7.1824E+01,8.4506E+01,2.0554E+00,4.0305E+02,4.0305E+02,8.3652E-04,1.2844E+02,1.2844E+02,2.4719E-04,9.0000E+01,9.0000E+01,21.06,4.0523E-05,,
0.38,S,3.8000E-01,0.11,0.0000E+00,2.9115E-01,0.0000E+00,6.3217E+02,4.6594E+01,0.98,0.0000E+00,7.1807E+01,8.4506E+01,2.0581E+00,4.0367E+02,4.0367E+02,8.3980E-04,1.3248E+02,1.3248E+02,2.5559E-04,9.0000E+01,9.0000E+01,22.38,4.3037E-05,,
0.39,S,3.9000E-01,0.12,0.0000E+00,2.9067E-01,0.0000E+00,6.3271E+02,4.6564E+01,1.04,0.0000E+00,7.1791E+01,8.4506E+01,2.0608E+00,4.0428E+02,4.0428E+02,8.4303E-04,1.3652E+02,1.3652E+02,2.6402E-04,9.0000E+01,9.0000E+01,23.75,4.5635E-05,,
0.40,S,4.0000E-01,0.12,0.0000E+00,2.9020E-01,0.0000E+00,6.3326E+02,4.6533E+01,1.10,0.0000E+00,7.1774E+01,8.4506E+01,2.0635E+00,4.0490E+02,4.0490E+02,8.4621E-04,1.4057E+02,1.4057E+02,2.7248E-04,9.0000E+01,9.0000E+01,25.15,4.8317E-05,,
0.41,S,4.1000E-01,0.12,0.0000E+00,2.8974E-01,0.0000E+00,6.3380E+02,4.6503E+01,1.16,0.0000E+00,7.1757E+01,8.4506E+01,2.0662E+00,4.0552E+02,4.0552E+02,8.4935E-04,1.4463E+02,1.4463E+02,2.8098E-04,9.0000E+01,9.0000E+01,26.60,5.1085E-05,,
0.42,S,4.2000E-01,0.13,0.0000E+00,2.8928E-01,0.0000E+00,6.3425E+02,4.6473E+01,1.23,0.0000E+00,7.1741E+01,8.4506E+01,2.0689E+00,4.0606E+02,4.0606E+02,8.5230E-04,1.4869E+02,1.4869E+02,2.8950E-04,9.0000E+01,9.0000E+01,28.09,5.3937E-05,,
0.43,S,4.3000E-01,0.13,0.0000E+00,2.8883E-01,0.0000E+00,6.3455E+02,4.6443E+01,1.30,0.0000E+00,7.1724E+01,8.4506E+01,2.0716E+00,4.0651E+02,4.0651E+02,8.5502E-04,1.5275E+02,1.5275E+02,2.9805E-04,9.0000E+01,9.0000E+01,29.61,5.6875E-05,,
0.44,S,4.4000E-01,0.13,0.0000E+00,2.8838E-01,0.0000E+00,6.3485E+02,4.6412E+01,1.37,0.0000E+00,7.1707E+01,8.4506E+01,2.0743E+00,4.0695E+02,4.0695E+02,8.5769E-04,1.5682E+02,1.5682E+02,3.0663E-04,9.0000E+01,9.0000E+01,31.18,5.9898E-05,,
0.45,S,4.5000E-01,0.14,0.0000E+00,2.8794E-01,0.0000E+00,6.3515E+02,4.6382E+01,1.44,0.0000E+00,7.1691E+01,8.4506E+01,2.0770E+00,4.0740E+02,4.0740E+02,8.6032E-04,1.6090E+02,1.6090E+02,3.1523E-04,9.0000E+01,9.0000E+01,32.79,6.3008E-05,,
0.46,S,4.6000E-01,0.14,0.0000E+00,2.8751E-01,0.0000E+00,6.3545E+02,4.6352E+01,1.51,0.0000E+00,7.1674E+01,8.4506E+01,2.0797E+00,4.0784E+02,4.0784E+02,8.6291E-04,1.6497E+02,1.6497E+02,3.2386E-04,9.0000E+01,9.0000E+01,34.44,6.6203E-05,,
0.47,S,4.7000E-01,0.15,0.0000E+00,2.8709E-01,0.0000E+00,6.3575E+02,4.6322E+01,1.59,0.0000E+00,7.1657E+01,8.4506E+01,2.0824E+00,4.0829E+02,4.0829E+02,8.6547E-04,1.6906E+02,1.6906E+02,3.3251E-04,9.0000E+01,9.0000E+01,36.13,6.9485E-05,,
0.48,S,4.8000E-01,0.15,0.0000E+00,2.8667E-01,0.0000E+00,6.3605E+02,4.6291E+01,1.66,0.0000E+00,7.1641E+01,8.4506E+01,2.0851E+00,4.0873E+02,4.0873E+02,8.6799E-04,1.7314E+02,1.7314E+02,3.4119E-04,9.0000E+01,9.0000E+01,37.86,7.2853E-05,,
0.49,S,4.9000E-01,0.15,0.0000E+00,2.8626E-01,0.0000E+00,6.3635E+02,4.6261E+01,1.74,0.0000E+00,7.1624E+01,8.4506E+01,2.0878E+00,4.0917E+02,4.0917E+02,8.7047E-04,1.7724E+02,1.7724E+02,3.4990E-04,9.0000E+01,9.0000E+01,39.63,7.6309E-05,,
0.50,S,5.0000E-01,0.16,0.0000E+00,2.8585E-01,0.0000E+00,6.3665E+02,4.6230E+01,1.82,0.0000E+00,7.1607E+01,8.4506E+01,2.0905E+00,4.0961E+02,4.0961E+02,8.7293E-04,1.8133E+02,1.8133E+02,3.5863E-04,9.0000E+01,9.0000E+01,41.45,7.9851E-05,,
0.51,S,5.1000E-01,0.16,0.0000E+00,2.8545E-01,0.0000E+00,6.3695E+02,4.6200E+01,1.91,0.0000E+00,7.1591E+01,8.4506E+01,2.0932E+00,4.1005E+02,4.1005E+02,8.7535E-04,1.8543E+02,1.8543E+02,3.6738E-04,9.0000E+01,9.0000E+01,43.30,8.3481E-05,,
0.52,S,5.2000E-01,0.16,0.0000E+00,2.8506E-01,0.0000E+00,6.3725E+02,4.6170E+01,1.99,0.0000E+00,7.1574E+01,8.4506E+01,2.0959E+00,4.1050E+02,4.1050E+02,8.7774E-04,1.8954E+02,1.8954E+02,3.7616E-04,9.0000E+01,9.0000E+01,45.20,8.7199E-05,,
0.53,S,5.3000E-01,0.17,0.0000E+00,2.8467E-01,0.0000E+00,6.3754E+02,4.6139E+01,2.08,0.0000E+00,7.1557E+01,8.4506E+01,2.0986E+00,4.1094E+02,4.1094E+02,8.8011E-04,1.9365E+02,1.9365E+02,3.8496E-04,9.0000E+01,9.0000E+01,47.13,9.1005E-05,,
0.54,S,5.4000E-01,0.17,0.0000E+00,2.8429E-01,0.0000E+00,6.3784E+02,4.6109E+01,2.16,0.0000E+00,7.1541E+01,8.4506E+01,2.1013E+00,4.1138E+02,4.1138E+02,8.8245E-04,1.9776E+02,1.9776E+02,3.9378E-04,9.0000E+01,9.0000E+01,49.11,9.4898E-05,,
0.55,S,5.5000E-01,0.17,0.0000E+00,2.8392E-01,0.0000E+00,6.3814E+02,4.6078E+01,2.25,0.0000E+00,7.1524E+01,8.4506E+01,2.1040E+00,4.1181E+02,4.1181E+02,8.8476E-04,2.0188E+02,2.0188E+02,4.0263E-04,9.0000E+01,9.0000E+01,51.13,9.8880E-05,,
0.56,S,5.6000E-01,0.18,0.0000E+00,2.8355E-01,0.0000E+00,6.3844E+02,4.6048E+01,2.35,0.0000E+00,7.1507E+01,8.4506E+01,2.1067E+00,4.1225E+02,4.1225E+02,8.8704E-04,2.0600E+02,2.0600E+02,4.1150E-04,9.0000E+01,9.0000E+01,53.19,1.0295E-04,,
0.57,S,5.7000E-01,0.18,0.0000E+00,2.8318E-01,0.0000E+00,6.3874E+02,4.6018E+01,2.44,0.0000E+00,7.1491E+01,8.4506E+01,2.1094E+00,4.1269E+02,4.1269E+02,8.8930E-04,2.1013E+02,2.1013E+02,4.2039E-04,9.0000E+01,9.0000E+01,55.29,1.0711E-04,,
0.58,S,5.8000E-01,0.19,0.0000E+00,2.8283E-01,0.0000E+00,6.3904E+02,4.5987E+01,2.53,0.0000E+00,7.1474E+01,8.4506E+01,2.1121E+00,4.1313E+02,4.1313E+02,8.9154E-04,2.1426E+02,2.1426E+02,4.2931E-04,9.0000E+01,9.0000E+01,57.43,1.1136E-04,,
0.59,S,5.9000E-01,0.19,0.0000E+00,2.8247E-01,0.0000E+00,6.3918E+02,4.5957E+01,2.63,0.0000E+00,7.1458E+01,8.4506E+01,2.1148E+00,4.1345E+02,4.1345E+02,8.9352E-04,2.1839E+02,2.1839E+02,4.3824E-04,9.0000E+01,9.0000E+01,59.62,1.1570E-04,,
0.60,S,6.0000E-01,0.19,0.0000E+00,2.8213E-01,0.0000E+00,6.3924E+02,4.5926E+01,2.73,0.0000E+00,7.1441E+01,8.4506E+01,2.1175E+00,4.1372E+02,4.1372E+02,8.9538E-04,2.2253E+02,2.2253E+02,4.4720E-04,9.0000E+01,9.0000E+01,61.84,1.2012E-04,,
0.61,S,6.1000E-01,0.20,0.0000E+00,2.8178E-01,0.0000E+00,6.3931E+02,4.5896E+01,2.83,0.0000E+00,7.1424E+01,8.4506E+01,2.1202E+00,4.1399E+02,4.1399E+02,8.9722E-04,2.2667E+02,2.2667E+02,4.5617E-04,9.0000E+01,9.0000E+01,64.11,1.2464E-04,,
0.62,S,6.2000E-01,0.20,0.0000E+00,2.8145E-01,0.0000E+00,6.3937E+02,4.5865E+01,2.93,0.0000E+00,7.1408E+01,8.4506E+01,2.1229E+00,4.1426E+02,4.1426E+02,8.9904E-04,2.3081E+02,2.3081E+02,4.6516E-04,9.0000E+01,9.0000E+01,66.42,1.2925E-04,,
0.63,S,6.3000E-01,0.20,0.0000E+00,2.8111E-01,0.0000E+00,6.3943E+02,4.5834E+01,3.04,0.0000E+00,7.1391E+01,8.4506E+01,2.1256E+00,4.1453E+02,4.1453E+02,9.0083E-04,2.3496E+02,2.3496E+02,4.7417E-04,9.0000E+01,9.0000E+01,68.77,1.3394E-04,,
0.64,S,6.4000E-01,0.21,0.0000E+00,2.8079E-01,0.0000E+00,6.3950E+02,4.5804E+01,3.14,0.0000E+00,7.1374E+01,8.4506E+01,2.1283E+00,4.1479E+02,4.1479E+02,9.0260E-04,2.3911E+02,2.3911E+02,4.8320E-04,9.0000E+01,9.0000E+01,71.16,1.3873E-04,,
0.65,S,6.5000E-01,0.21,0.0000E+00,2.8046E-01,0.0000E+00,6.3956E+02,4.5773E+01,3.25,0.0000E+00,7.1358E+01,8.4506E+01,2.1310E+00,4.1506E+02,4.1506E+02,9.0436E-04,2.4326E+02,2.4326E+02,4.9224E-04,9.0000E+01,9.0000E+01,73.59,1.4361E-04,,
0.66,S,6.6000E-01,0.21,0.0000E+00,2.8015E-01,0.0000E+00,6.3962E+02,4.5743E+01,3.36,0.0000E+00,7.1341E+01,8.4506E+01,2.1337E+00,4.1532E+02,4.1532E+02,9.0609E-04,2.4741E+02,2.4741E+02,5.0130E-04,9.0000E+01,9.0000E+01,76.07,1.4858E-04,,
0.67,S,6.7000E-01,0.22,0.0000E+00,2.7983E-01,0.0000E+00,6.3969E+02,4.5712E+01,3.47,0.0000E+00,7.1324E+01,8.4506E+01,2.1364E+00,4.1559E+02,4.1559E+02,9.0780E-04,2.5157E+02,2.5157E+02,5.1038E-04,9.0000E+01,9.0000E+01,78.58,1.5363E-04,,
0.68,S,6.8000E-01,0.22,0.0000E+00,2.7952E-01,0.0000E+00,6.3975E+02,4.5682E+01,3.59,0.0000E+00,7.1308E+01,8.4506E+01,2.1391E+00,4.1585E+02,4.1585E+02,9.0950E-04,2.5573E+02,2.5573E+02,5.1947E-04,9.0000E+01,9.0000E+01,81.14,1.5878E-04,,
0.69,S,6.9000E-01,0.23,0.0000E+00,2.7922E-01,0.0000E+00,6.3982E+02,4.5651E+01,3.70,0.0000E+00,7.1291E+01,8.4506E+01,2.1418E+00,4.1611E+02,4.1611E+02,9.1118E-04,2.5989E+02,2.5989E+02,5.2858E-04,9.0000E+01,9.0000E+01,83.74,1.6402E-04,,
0.70,S,7.0000E-01,0.23,0.0000E+00,2.7892E-01,0.0000E+00,6.3988E+02,4.5621E+01,3.82,0.0000E+00,7.1274E+01,8.4506E+01,2.1445E+00,4.1638E+02,4.1638E+02,9.1284E-04,2.6405E+02,2.6405E+02,5.3771E-04,9.0000E+01,9.0000E+01,86.38,1.6936E-04,,
0.71,S,7.1000E-01,0.23,0.0000E+00,2.7862E-01,0.0000E+00,6.3994E+02,4.5590E+01,3.94,0.0000E+00,7.1258E+01,8.4506E+01,2.1472E+00,4.1664E+02,4.1664E+02,9.1448E-04,2.6822E+02,2.6822E+02,5.4686E-04,9.0000E+01,9.0000E+01,89.06,1.7478E-04,,
0.72,S,7.2000E-01,0.24,0.0000E+00,2.7833E-01,0.0000E+00,6.4001E+02,4.5560E+01,4.06,0.0000E+00,7.1241E+01,8.4506E+01,2.1499E+00,4.1690E+02,4.1690E+02,9.1611E-04,2.7239E+02,2.7239E+02,5.5602E-04,9.0000E+01,9.0000E+01,91.78,1.8029E-04,,
0.73,S,7.3000E-01,0.24,0.0000E+00,2.7804E-01,0.0000E+00,6.4007E+02,4.5529E+01,4.18,0.0000E+00,7.1224E+01,8.4506E+01,2.1526E+00,4.1716E+02,4.1716E+02,9.1772E-04,2.7656E+02,2.7656E+02,5.6520E-04,9.0000E+01,9.0000E+01,94.55,1.8590E-04,,
0.74,S,7.4000E-01,0.24,0.0000E+00,2.7776E-01,0.0000E+00,6.4013E+02,4.5499E+01,4.31,0.0000E+00,7.1208E+01,8.4506E+01,2.1553E+00,4.1741E+02,4.1741E+02,9.1932E-04,2.8073E+02,2.8073E+02,5.7439E-04,9.0000E+01,9.0000E+01,97.36,1.9160E-04,,
0.75,S,7.5000E-01,0.25,0.0000E+00,2.7748E-01,0.0000E+00,6.4020E+02,4.5468E+01,4.43,0.0000E+00,7.1191E+01,8.4506E+01,2.1580E+00,4.1767E+02,4.1767E+02,9.2090E-04,2.8491E+02,2.8491E+02,5.8360E-04,9.0000E+01,9.0000E+01,100.21,1.9739E-04,,
0.76,S,7.6000E-01,0.25,0.0000E+00,2.7722E-01,0.0000E+00,6.4025E+02,4.5438E+01,4.56,0.0000E+00,7.1174E+01,8.4506E+01,2.1607E+00,4.1792E+02,4.1792E+02,9.2244E-04,2.8909E+02,2.8909E+02,5.9282E-04,9.0000E+01,9.0000E+01,103.10,2.0327E-04,,
0.77,S,7.7000E-01,0.26,0.0000E+00,2.7700E-01,0.0000E+00,6.4029E+02,4.5407E+01,4.69,0.0000E+00,7.1158E+01,8.4506E+01,2.1634E+00,4.1816E+02,4.1816E+02,9.2397E-04,2.9327E+02,2.9327E+02,6.0206E-04,9.0000E+01,9.0000E+01,106.03,2.0924E-04,,
0.78,S,7.8000E-01,0.26,0.0000E+00,2.7678E-01,0.0000E+00,6.4034E+02,4.5376E+01,4.82,0.0000E+00,7.1141E+01,8.4506E+01,2.1661E+00,4.1840E+02,4.1840E+02,9.2548E-04,2.9745E+02,2.9745E+02,6.1132E-04,9.0000E+01,9.0000E+01,109.00,2.1531E-04,,
0.79,S,7.9000E-01,0.26,0.0000E+00,2.7656E-01,0.0000E+00,6.4038E+02,4.5346E+01,4.96,0.0000E+00,7.1124E+01,8.4506E+01,2.1688E+00,4.1864E+02,4.1864E+02,9.2697E-04,3.0164E+02,3.0164E+02,6.2059E-04,9.0000E+01,9.0000E+01,112.02,2.2147E-04,,
